role,system,records,attempted,canonical_preferred,acceptable
ACCOUNT_NUMBER,current_rule,1,1,1,1
ACCOUNT_NUMBER,num2words_vi,1,1,0,0
ACCOUNT_NUMBER,vietnormalizer,1,1,0,0
ACCOUNT_NUMBER,soe_vinorm,1,1,1,1
ADDRESS,current_rule,2,2,0,0
ADDRESS,num2words_vi,2,2,0,0
ADDRESS,vietnormalizer,2,2,0,0
ADDRESS,soe_vinorm,2,2,1,1
ALLEY_NUMBER,current_rule,1,1,1,1
ALLEY_NUMBER,num2words_vi,1,1,1,1
ALLEY_NUMBER,vietnormalizer,1,1,0,0
ALLEY_NUMBER,soe_vinorm,1,1,1,1
APARTMENT,current_rule,2,2,0,0
APARTMENT,num2words_vi,2,2,0,0
APARTMENT,vietnormalizer,2,2,0,0
APARTMENT,soe_vinorm,2,2,0,0
AVAILABILITY,current_rule,1,1,0,0
AVAILABILITY,num2words_vi,1,1,0,0
AVAILABILITY,vietnormalizer,1,1,0,0
AVAILABILITY,soe_vinorm,1,1,1,1
BATCH_ID,current_rule,1,1,0,0
BATCH_ID,num2words_vi,1,1,0,0
BATCH_ID,vietnormalizer,1,1,0,0
BATCH_ID,soe_vinorm,1,1,0,0
BUS_ROUTE,current_rule,2,2,2,2
BUS_ROUTE,num2words_vi,2,2,1,1
BUS_ROUTE,vietnormalizer,2,2,0,0
BUS_ROUTE,soe_vinorm,2,2,2,2
CARD_SUFFIX,current_rule,1,1,0,0
CARD_SUFFIX,num2words_vi,1,1,0,0
CARD_SUFFIX,vietnormalizer,1,1,0,0
CARD_SUFFIX,soe_vinorm,1,1,0,0
CLASS_ID,current_rule,1,1,0,0
CLASS_ID,num2words_vi,1,1,0,0
CLASS_ID,vietnormalizer,1,1,0,0
CLASS_ID,soe_vinorm,1,1,0,0
DATE,current_rule,9,9,2,3
DATE,num2words_vi,9,9,0,0
DATE,vietnormalizer,9,9,0,0
DATE,soe_vinorm,9,9,2,4
DATE_RANGE,current_rule,2,2,0,0
DATE_RANGE,num2words_vi,2,2,0,0
DATE_RANGE,vietnormalizer,2,2,0,0
DATE_RANGE,soe_vinorm,2,2,0,0
DAY_OF_MONTH,current_rule,1,1,0,0
DAY_OF_MONTH,num2words_vi,1,1,0,0
DAY_OF_MONTH,vietnormalizer,1,1,0,0
DAY_OF_MONTH,soe_vinorm,1,1,0,0
DECIMAL,current_rule,5,5,0,0
DECIMAL,num2words_vi,5,5,0,0
DECIMAL,vietnormalizer,5,5,0,0
DECIMAL,soe_vinorm,5,5,5,5
DIGITAL_STORAGE,current_rule,3,3,0,0
DIGITAL_STORAGE,num2words_vi,3,3,0,0
DIGITAL_STORAGE,vietnormalizer,3,3,0,0
DIGITAL_STORAGE,soe_vinorm,3,3,2,2
DURATION,current_rule,3,3,0,0
DURATION,num2words_vi,3,3,0,0
DURATION,vietnormalizer,3,3,0,0
DURATION,soe_vinorm,3,3,0,0
EMERGENCY_PHONE,current_rule,3,3,2,2
EMERGENCY_PHONE,num2words_vi,3,3,0,0
EMERGENCY_PHONE,vietnormalizer,3,3,0,0
EMERGENCY_PHONE,soe_vinorm,3,3,0,0
EQUATION,current_rule,3,3,0,0
EQUATION,num2words_vi,3,3,0,0
EQUATION,vietnormalizer,3,3,0,0
EQUATION,soe_vinorm,3,3,1,1
ERROR_CODE,current_rule,1,1,0,1
ERROR_CODE,num2words_vi,1,1,0,0
ERROR_CODE,vietnormalizer,1,1,0,0
ERROR_CODE,soe_vinorm,1,1,0,0
FINANCIAL_RATIO,current_rule,1,1,0,0
FINANCIAL_RATIO,num2words_vi,1,1,0,0
FINANCIAL_RATIO,vietnormalizer,1,1,0,0
FINANCIAL_RATIO,soe_vinorm,1,1,0,0
FLIGHT_ID,current_rule,1,1,0,0
FLIGHT_ID,num2words_vi,1,1,0,0
FLIGHT_ID,vietnormalizer,1,1,0,0
FLIGHT_ID,soe_vinorm,1,1,0,0
FRACTION,current_rule,4,4,2,3
FRACTION,num2words_vi,4,4,0,0
FRACTION,vietnormalizer,4,4,0,0
FRACTION,soe_vinorm,4,4,0,0
FRACTIONAL_DURATION,current_rule,1,1,0,0
FRACTIONAL_DURATION,num2words_vi,1,1,0,0
FRACTIONAL_DURATION,vietnormalizer,1,1,0,0
FRACTIONAL_DURATION,soe_vinorm,1,1,0,0
GATE,current_rule,1,1,1,1
GATE,num2words_vi,1,1,0,0
GATE,vietnormalizer,1,1,0,0
GATE,soe_vinorm,1,1,1,1
HOUSE_NUMBER,current_rule,1,1,1,1
HOUSE_NUMBER,num2words_vi,1,1,1,1
HOUSE_NUMBER,vietnormalizer,1,1,0,0
HOUSE_NUMBER,soe_vinorm,1,1,1,1
IDENTIFIER,current_rule,3,3,3,3
IDENTIFIER,num2words_vi,3,3,0,0
IDENTIFIER,vietnormalizer,3,3,0,0
IDENTIFIER,soe_vinorm,3,3,2,2
INTERVAL,current_rule,1,1,0,0
INTERVAL,num2words_vi,1,1,0,0
INTERVAL,vietnormalizer,1,1,0,0
INTERVAL,soe_vinorm,1,1,0,0
INVOICE_ID,current_rule,1,1,0,0
INVOICE_ID,num2words_vi,1,1,0,0
INVOICE_ID,vietnormalizer,1,1,0,0
INVOICE_ID,soe_vinorm,1,1,1,1
ISO_DATE,current_rule,1,1,1,1
ISO_DATE,num2words_vi,1,1,0,0
ISO_DATE,vietnormalizer,1,1,0,0
ISO_DATE,soe_vinorm,1,1,0,0
KILOMETER_MARKER,current_rule,1,1,0,0
KILOMETER_MARKER,num2words_vi,1,1,0,0
KILOMETER_MARKER,vietnormalizer,1,1,0,0
KILOMETER_MARKER,soe_vinorm,1,1,0,0
LICENSE_PLATE,current_rule,2,2,0,0
LICENSE_PLATE,num2words_vi,2,2,0,0
LICENSE_PLATE,vietnormalizer,2,2,0,0
LICENSE_PLATE,soe_vinorm,2,2,0,0
LOCKER,current_rule,1,1,0,0
LOCKER,num2words_vi,1,1,0,0
LOCKER,vietnormalizer,1,1,0,0
LOCKER,soe_vinorm,1,1,1,1
MEASURE,current_rule,14,14,0,0
MEASURE,num2words_vi,14,14,0,0
MEASURE,vietnormalizer,14,14,0,0
MEASURE,soe_vinorm,14,14,11,11
MEASURE_RANGE,current_rule,1,1,0,0
MEASURE_RANGE,num2words_vi,1,1,0,0
MEASURE_RANGE,vietnormalizer,1,1,0,0
MEASURE_RANGE,soe_vinorm,1,1,0,0
MEDIA_TIMESTAMP,current_rule,1,1,0,0
MEDIA_TIMESTAMP,num2words_vi,1,1,0,0
MEDIA_TIMESTAMP,vietnormalizer,1,1,0,0
MEDIA_TIMESTAMP,soe_vinorm,1,1,0,0
MEDICAL_RATIO,current_rule,2,2,0,0
MEDICAL_RATIO,num2words_vi,2,2,0,0
MEDICAL_RATIO,vietnormalizer,2,2,0,0
MEDICAL_RATIO,soe_vinorm,2,2,1,1
MONEY,current_rule,18,18,11,11
MONEY,num2words_vi,18,18,2,2
MONEY,vietnormalizer,18,18,0,0
MONEY,soe_vinorm,18,18,8,10
MONEY_RANGE,current_rule,1,1,0,0
MONEY_RANGE,num2words_vi,1,1,0,0
MONEY_RANGE,vietnormalizer,1,1,0,0
MONEY_RANGE,soe_vinorm,1,1,0,0
MONEY_RATE,current_rule,1,1,0,0
MONEY_RATE,num2words_vi,1,1,0,0
MONEY_RATE,vietnormalizer,1,1,0,0
MONEY_RATE,soe_vinorm,1,1,0,0
MONTH_YEAR,current_rule,2,2,0,0
MONTH_YEAR,num2words_vi,2,2,0,0
MONTH_YEAR,vietnormalizer,2,2,0,0
MONTH_YEAR,soe_vinorm,2,2,1,1
NATIONAL_ID,current_rule,1,1,1,1
NATIONAL_ID,num2words_vi,1,1,0,0
NATIONAL_ID,vietnormalizer,1,1,0,0
NATIONAL_ID,soe_vinorm,1,1,1,1
NEGATIVE_QUANTITY,current_rule,1,1,0,0
NEGATIVE_QUANTITY,num2words_vi,1,1,0,1
NEGATIVE_QUANTITY,vietnormalizer,1,1,0,0
NEGATIVE_QUANTITY,soe_vinorm,1,1,0,1
ORDER_ID,current_rule,1,1,1,1
ORDER_ID,num2words_vi,1,1,0,0
ORDER_ID,vietnormalizer,1,1,0,0
ORDER_ID,soe_vinorm,1,1,0,0
ORDINAL_ROMAN,current_rule,1,1,0,0
ORDINAL_ROMAN,num2words_vi,1,0,0,0
ORDINAL_ROMAN,vietnormalizer,1,1,0,0
ORDINAL_ROMAN,soe_vinorm,1,1,1,1
PASSPORT_ID,current_rule,1,1,0,0
PASSPORT_ID,num2words_vi,1,1,0,0
PASSPORT_ID,vietnormalizer,1,1,0,0
PASSPORT_ID,soe_vinorm,1,1,0,0
PERCENT,current_rule,3,3,0,0
PERCENT,num2words_vi,3,3,0,0
PERCENT,vietnormalizer,3,3,0,0
PERCENT,soe_vinorm,3,3,3,3
PERCENT_RANGE,current_rule,1,1,0,0
PERCENT_RANGE,num2words_vi,1,1,0,0
PERCENT_RANGE,vietnormalizer,1,1,0,0
PERCENT_RANGE,soe_vinorm,1,1,1,1
PHONE,current_rule,10,10,0,0
PHONE,num2words_vi,10,10,0,0
PHONE,vietnormalizer,10,10,0,0
PHONE,soe_vinorm,10,10,0,0
PHONE_EXTENSION,current_rule,1,1,0,0
PHONE_EXTENSION,num2words_vi,1,1,0,0
PHONE_EXTENSION,vietnormalizer,1,1,0,0
PHONE_EXTENSION,soe_vinorm,1,1,0,0
PIN,current_rule,1,1,1,1
PIN,num2words_vi,1,1,0,0
PIN,vietnormalizer,1,1,0,0
PIN,soe_vinorm,1,1,1,1
POSTAL_CODE,current_rule,1,1,1,1
POSTAL_CODE,num2words_vi,1,1,0,1
POSTAL_CODE,vietnormalizer,1,1,0,0
POSTAL_CODE,soe_vinorm,1,1,0,1
POWER,current_rule,3,3,0,0
POWER,num2words_vi,3,3,0,0
POWER,vietnormalizer,3,3,0,0
POWER,soe_vinorm,3,3,1,1
PROBABILITY,current_rule,1,1,0,0
PROBABILITY,num2words_vi,1,1,0,0
PROBABILITY,vietnormalizer,1,1,0,0
PROBABILITY,soe_vinorm,1,1,1,1
QUANTITY,current_rule,19,19,10,12
QUANTITY,num2words_vi,19,19,8,11
QUANTITY,vietnormalizer,19,19,0,0
QUANTITY,soe_vinorm,19,19,17,19
QUARTER_YEAR,current_rule,1,1,0,0
QUARTER_YEAR,num2words_vi,1,1,0,0
QUARTER_YEAR,vietnormalizer,1,1,0,0
QUARTER_YEAR,soe_vinorm,1,1,1,1
QUEUE_ID,current_rule,1,1,0,0
QUEUE_ID,num2words_vi,1,1,0,0
QUEUE_ID,vietnormalizer,1,1,0,0
QUEUE_ID,soe_vinorm,1,1,0,0
RADICAL,current_rule,1,1,1,1
RADICAL,num2words_vi,1,1,1,1
RADICAL,vietnormalizer,1,1,0,0
RADICAL,soe_vinorm,1,1,1,1
RANGE,current_rule,2,2,0,0
RANGE,num2words_vi,2,2,0,0
RANGE,vietnormalizer,2,2,0,0
RANGE,soe_vinorm,2,2,1,1
RATIO,current_rule,3,3,0,0
RATIO,num2words_vi,3,3,0,0
RATIO,vietnormalizer,3,3,0,0
RATIO,soe_vinorm,3,3,0,0
RECORD_ID,current_rule,1,1,1,1
RECORD_ID,num2words_vi,1,1,0,0
RECORD_ID,vietnormalizer,1,1,0,0
RECORD_ID,soe_vinorm,1,1,1,1
ROAD_ROUTE,current_rule,1,1,0,0
ROAD_ROUTE,num2words_vi,1,1,0,0
