method,semiotic_class,failures
contextual_rule,ADDRESS,2
contextual_rule,APARTMENT,2
contextual_rule,AVAILABILITY,1
contextual_rule,BATCH_ID,1
contextual_rule,CARD_SUFFIX,1
contextual_rule,CLASS_ID,1
contextual_rule,DATE,6
contextual_rule,DATE_RANGE,2
contextual_rule,DAY_OF_MONTH,1
contextual_rule,DECIMAL,5
contextual_rule,DIGITAL_STORAGE,3
contextual_rule,DURATION,3
contextual_rule,EMERGENCY_PHONE,1
contextual_rule,EQUATION,3
contextual_rule,FINANCIAL_RATIO,1
contextual_rule,FLIGHT_ID,1
contextual_rule,FRACTION,1
contextual_rule,FRACTIONAL_DURATION,1
contextual_rule,INTERVAL,1
contextual_rule,INVOICE_ID,1
contextual_rule,KILOMETER_MARKER,1
contextual_rule,LICENSE_PLATE,2
contextual_rule,LOCKER,1
contextual_rule,MEASURE,14
contextual_rule,MEASURE_RANGE,1
contextual_rule,MEDIA_TIMESTAMP,1
contextual_rule,MEDICAL_RATIO,2
contextual_rule,MONEY,7
contextual_rule,MONEY_RANGE,1
contextual_rule,MONEY_RATE,1
contextual_rule,MONTH_YEAR,2
contextual_rule,NEGATIVE_QUANTITY,1
contextual_rule,ORDINAL_ROMAN,1
contextual_rule,PASSPORT_ID,1
contextual_rule,PERCENT,3
contextual_rule,PERCENT_RANGE,1
contextual_rule,PHONE,10
contextual_rule,PHONE_EXTENSION,1
contextual_rule,POWER,3
contextual_rule,PROBABILITY,1
contextual_rule,QUANTITY,7
contextual_rule,QUARTER_YEAR,1
contextual_rule,QUEUE_ID,1
contextual_rule,RANGE,2
contextual_rule,RATIO,3
contextual_rule,ROAD_ROUTE,1
contextual_rule,ROOM,1
contextual_rule,SCIENTIFIC_NOTATION,1
contextual_rule,SCORE,2
contextual_rule,SCORE_SCALE,1
contextual_rule,SEAT,1
contextual_rule,SIGNED_NUMBER,2
contextual_rule,SIGNED_PERCENT,2
contextual_rule,STUDENT_ID,1
contextual_rule,TEMPERATURE,3
contextual_rule,TIME,5
contextual_rule,TIME_RANGE,1
contextual_rule,TRAIN_ID,1
contextual_rule,VERSION,2
contextual_rule,YEAR,1
contextual_rule,YEAR_BCE,1
contextual_rule,YEAR_RANGE,2
direct_num2words,ACCOUNT_NUMBER,1
direct_num2words,ADDRESS,2
direct_num2words,APARTMENT,2
direct_num2words,AVAILABILITY,1
direct_num2words,BATCH_ID,1
direct_num2words,BUS_ROUTE,1
direct_num2words,CARD_SUFFIX,1
direct_num2words,CLASS_ID,1
direct_num2words,DATE,9
direct_num2words,DATE_RANGE,2
direct_num2words,DAY_OF_MONTH,1
direct_num2words,DECIMAL,5
direct_num2words,DIGITAL_STORAGE,3
direct_num2words,DURATION,3
direct_num2words,EMERGENCY_PHONE,3
direct_num2words,EQUATION,3
direct_num2words,ERROR_CODE,1
direct_num2words,FINANCIAL_RATIO,1
direct_num2words,FLIGHT_ID,1
direct_num2words,FRACTION,4
direct_num2words,FRACTIONAL_DURATION,1
direct_num2words,GATE,1
direct_num2words,IDENTIFIER,3
direct_num2words,INTERVAL,1
direct_num2words,INVOICE_ID,1
direct_num2words,ISO_DATE,1
direct_num2words,KILOMETER_MARKER,1
direct_num2words,LICENSE_PLATE,2
direct_num2words,LOCKER,1
direct_num2words,MEASURE,14
direct_num2words,MEASURE_RANGE,1
direct_num2words,MEDIA_TIMESTAMP,1
direct_num2words,MEDICAL_RATIO,2
direct_num2words,MONEY,16
direct_num2words,MONEY_RANGE,1
direct_num2words,MONEY_RATE,1
direct_num2words,MONTH_YEAR,2
direct_num2words,NATIONAL_ID,1
direct_num2words,ORDER_ID,1
direct_num2words,ORDINAL_ROMAN,1
direct_num2words,PASSPORT_ID,1
direct_num2words,PERCENT,3
direct_num2words,PERCENT_RANGE,1
direct_num2words,PHONE,10
direct_num2words,PHONE_EXTENSION,1
direct_num2words,PIN,1
direct_num2words,POWER,3
direct_num2words,PROBABILITY,1
direct_num2words,QUANTITY,8
direct_num2words,QUARTER_YEAR,1
direct_num2words,QUEUE_ID,1
direct_num2words,RANGE,2
direct_num2words,RATIO,3
direct_num2words,RECORD_ID,1
direct_num2words,ROAD_ROUTE,1
direct_num2words,ROOM,3
direct_num2words,SCIENTIFIC_NOTATION,1
direct_num2words,SCORE,2
direct_num2words,SCORE_SCALE,1
direct_num2words,SEAT,1
direct_num2words,SERVICE_PHONE,1
direct_num2words,SIGNED_NUMBER,2
direct_num2words,SIGNED_PERCENT,2
direct_num2words,STUDENT_ID,1
direct_num2words,TABLE_NUMBER,1
direct_num2words,TAX_ID,1
direct_num2words,TEMPERATURE,3
direct_num2words,TIME,9
direct_num2words,TIME_RANGE,1
direct_num2words,TRACKING_ID,1
direct_num2words,TRAIN_ID,1
direct_num2words,VERSION,2
direct_num2words,YEAR,3
direct_num2words,YEAR_BCE,1
direct_num2words,YEAR_RANGE,2
identity,ACCOUNT_NUMBER,1
identity,ADDRESS,2
identity,ALLEY_NUMBER,1
identity,APARTMENT,2
identity,AVAILABILITY,1
identity,BATCH_ID,1
identity,BUS_ROUTE,2
identity,CARD_SUFFIX,1
identity,CLASS_ID,1
identity,DATE,9
identity,DATE_RANGE,2
identity,DAY_OF_MONTH,1
identity,DECIMAL,5
identity,DIGITAL_STORAGE,3
identity,DURATION,3
identity,EMERGENCY_PHONE,3
identity,EQUATION,3
identity,ERROR_CODE,1
identity,FINANCIAL_RATIO,1
identity,FLIGHT_ID,1
identity,FRACTION,4
identity,FRACTIONAL_DURATION,1
identity,GATE,1
identity,HOUSE_NUMBER,1
identity,IDENTIFIER,3
identity,INTERVAL,1
identity,INVOICE_ID,1
identity,ISO_DATE,1
identity,KILOMETER_MARKER,1
identity,LICENSE_PLATE,2
identity,LOCKER,1
identity,MEASURE,14
identity,MEASURE_RANGE,1
identity,MEDIA_TIMESTAMP,1
identity,MEDICAL_RATIO,2
identity,MONEY,18
identity,MONEY_RANGE,1
identity,MONEY_RATE,1
identity,MONTH_YEAR,2
identity,NATIONAL_ID,1
identity,NEGATIVE_QUANTITY,1
identity,ORDER_ID,1
identity,ORDINAL_ROMAN,1
identity,PASSPORT_ID,1
identity,PERCENT,3
identity,PERCENT_RANGE,1
identity,PHONE,10
identity,PHONE_EXTENSION,1
identity,PIN,1
identity,POSTAL_CODE,1
identity,POWER,3
identity,PROBABILITY,1
identity,QUANTITY,19
identity,QUARTER_YEAR,1
identity,QUEUE_ID,1
identity,RADICAL,1
identity,RANGE,2
identity,RATIO,3
identity,RECORD_ID,1
identity,ROAD_ROUTE,1
identity,ROOM,4
identity,SCIENTIFIC_NOTATION,1
identity,SCORE,2
identity,SCORE_SCALE,1
identity,SEAT,1
identity,SERVICE_PHONE,1
identity,SIGNED_NUMBER,2
identity,SIGNED_PERCENT,2
identity,STUDENT_ID,1
identity,TABLE_NUMBER,1
identity,TAX_ID,1
identity,TEMPERATURE,3
identity,TIME,9
identity,TIME_RANGE,1
identity,TRACKING_ID,1
identity,TRAIN_ID,1
identity,VERSION,2
identity,YEAR,7
identity,YEAR_BCE,1
identity,YEAR_RANGE,2
omnivoice_current,ADDRESS,2
omnivoice_current,APARTMENT,2
omnivoice_current,AVAILABILITY,1
omnivoice_current,BATCH_ID,1
omnivoice_current,CARD_SUFFIX,1
omnivoice_current,CLASS_ID,1
omnivoice_current,DATE,6
omnivoice_current,DATE_RANGE,2
omnivoice_current,DAY_OF_MONTH,1
omnivoice_current,DECIMAL,5
omnivoice_current,DIGITAL_STORAGE,3
omnivoice_current,DURATION,3
omnivoice_current,EMERGENCY_PHONE,1
omnivoice_current,EQUATION,3
omnivoice_current,FINANCIAL_RATIO,1
omnivoice_current,FLIGHT_ID,1
omnivoice_current,FRACTION,1
